,Names,Organisation,Projects
82,ankiitgupta7,Red Hen Lab,Simulating Multimodal Communication in Vervet Monkeys with Braitenberg Vehicles
83,Pinku Deb Nath,MediaPipe,Build an open-source realtime web video effects app
84,Caleb Herbel,The Apache Software Foundation,Dynamic Partitioning for Interval Joins in Asterix Database
85,Yash Bhambhu,CCExtractor Development,Animating a poor man [PMR-III]
86,Arsh Pratap,ArduPilot,Native ROS2 support
87,Callum Rollo,Integrated Ocean Observing System (IOOS),erdappy-griddap: Accessing gridded oceanographic data in near real time
88,eppisai (Aman Singh),apertus° Association,AXIOM Remote: Firmware Improvement And Extension
89,satbws,VideoLAN,VLC macOS interface redesign
90,Amanjot Singh,BRL-CAD,Open Geometry Viewer(OGV)
91,Ybrahin Martinez,Python Software Foundation,(PyAr) PyZombies
92,Sanchita Singh,XWiki,Elastic Compute Cloud-based Amazon Machine Image for XWiki
93,Aryan Shridhar,Zulip,Enhance Recent topic view with Multiselect Dropdown List Widget And Implement Reusable Widgets
94,Mithil,Liquid Galaxy project,Liquid Galaxy Stellarium
95,Riccardo Mancini,The Linux Foundation,Multi-threading in perf
96,Nishchal Singi,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",A frontend for Niffler DICOM framework for machine learning pipelines and processing workflows
97,Yemdjih Kaze Nasser,The Apache Software Foundation,Machine Learning Credit Scorecard PHASE 4
98,Virajkumar Patel,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Tensorflow GUI
99,Zeyad Gouda,CRIU,Use eBPF to lock/unlock the network
100,Abhay Garg,Oppia Foundation,Introduce Support for Displaying Copyright Licenses
101,Niklas Muennighoff,DeepPavlov,TripPy + DeepPavlov
102,Anna Bogdanova,Python Software Foundation,Extend CSS Selectors Level 4 Support in cssselect
103,Aman Dwivedi,FOSSology,Adding React Library to new UI
104,Kensei Nakada,CNCF,web-based simulator for scheduler behaviour (Project: Kubernetes)
105,Jeffrey Paul,openastronomy,3D Plotting
106,Rakshit P,Pharo Consortium,Matrix State of the Art
107,Alejandro Fernández,RoboComp,An object detection component for LearnBlock
108,nakuldx,coala,corobo Enhancement Project
109,Chuyang Chen,The LLVM Compiler Infrastructure,Integrate Enzyme into Rust to Provide High-performance Differentiation in Rust
110,aniket agarwalla,CGAL Project,Moving Least Squares for point set smoothing and differential properties estimation
111,Alluri Harshit Varma,The Terasology Foundation,Quality Improvements for Light & Shadow
112,James Culver,Pidgin Instant Messenger,New Release
113,Karan Singh,vitrivr,Vitrivr Reads
114,qlin,International Catrobat Association,Pocket Code for Android: HMS API Machine Learning and AI support
115,Aditi Verma,OpenMined,Integrating NumPy into PySyft
116,Sinan Gençoğlu,Machine Learning for Science (ML4SCI) Umbrella Organization,Background Estimation with Neural Autoregressive Flows Proposal
117,Akash Dhiman,Zulip,Work on enhancing Zulip's mobile experience.
118,Bhuvaneshwar Vemula,Godot Engine,Command Palette
119,Nicholas Mancuso,Checkstyle,Upgrade Java Grammar from ANTLR2 to ANTLR4
120,Emma Bastås,Elm Tooling,Integrating performance improvements from the Elm compiler into elm-format
121,Pranav Saxena,OWASP Foundation,Implement Retest Functionality
122,Yasharth Dubey,The Palisadoes Foundation,The Multisite project
123,Shehjad Khan,TensorFlow,TensorFlow Lite - Natural Language Processing Example Generation
124,Archit Rungta,OpenCV,OpenCV bindings for Julia
125,Nabeel Danish,The ENIGMA Team,Polygon Based Collision Detection System
126,Harshit Chopra,Continuous Delivery Foundation,"Git credentials binding for sh, bat, and powershell"
127,Saloni Goyal,Haiku,Coding style checker bot for Gerrit
128,Arsh Sharma,CNCF,Improve the usability of cert-manager on multiple cloud providers
129,Tarun Moses Akumalla,SPDX,RDF Writer for Golang
130,KUMAR SHIVAM,Joomla!,Implement and improve several accessibility functions in Joomla! Keyboard navigation
131,Amr Elsersy,Open Robotics,Machine Learning Extension to Ignition Gazebo
132,Divyasheel,The Linux Foundation,GSOC 2021 Proposal - GUI for listing and managing available IPP services
133,Roberto David Aleman,AerospaceResearch.net,Aerospaces sats
134,Mrigank Anand,OWASP Foundation,Extending functionalities and Re-Design WebUI Graphs
135,David Ayotte,SageMath,Implementation of the graded ring of quasimodular forms
136,Ujjwal Agarwal,SPDX,JSON Support for Golang libraries
137,Georgios Giannakoulias,GFOSS - Open Technology Alliance,Development of a DIY robot kit for educators
138,Atharva Raykar,Git,Finish converting submodule to builtin
139,unsuitable001,Dart,Building a Cronet-based HTTP package in Dart
140,Aditya Kane,TensorFlow,Implement and publish state-of-the-art ML models in TensorFlow 2 : ResNet-RS and EfficientNetV2
141,Ahmed-1,NumFOCUS,PyTorch-Ignite: Development of a Higher-level API
142,Isabel Lima,Swift,Shared Storage for Property Wrappers
143,Deepak Singh Rathore,LabLua,Typed API for LuaRocks
144,Julian Komaromy,CGAL Project,Mesh Decimation using Probabilistic Quadrics
145,Adam Li,Python Software Foundation,An Electrophysiology Connectivity Package in the MNE Environment
146,a-yyg,ScummVM,SAGA2 engine
147,Shailesh Kanojiya,Wikimedia Foundation,GSOC - Create cypress tests for wikipedia-preview
148,Mahanaz Atiqullah,Swift,"A ""Bite-Sized"" BitArray"
149,Nasir Hemed,VideoLAN,Metadata extraction using dav1d
150,Aaryan Porwal,Ceph,Visual Regression Testing of Ceph-Dashboard
151,Benura Abeywardena,The Apache Software Foundation,Improve Robustness by fixing Issues / Feature Requests from the backlog
152,Kathrin Elmenhorst,Digital Impact Alliance (DIAL) at UN Foundation,Measuring QUIC and TLS censorship with OONI Probe
153,Bayram Çiçek,LibreOffice,100 Paper Cuts
154,Venkata Shravan,CCExtractor Development,Migrating sample-platform from Kernel-based Virtual Machine to Google Cloud.
155,Ritik Jain,AOSSIE,Peer to Peer Message Transfer
156,The_DarkFire_,ReactOS,implementation of SMP HALs
157,Sarthak Singh,SCoRe Lab,Scan8
158,George Mitenkov,The LLVM Compiler Infrastructure,Fixing fundamental issues in LLVM IR: Introducing a byte type to solve load type punning
159,Sahil,Python Software Foundation,Improve CVE database structure and tracking of multiple reports
160,Xinyu Wang,Ruby,Optimize Kernel::require API for Ruby 3
161,Kunwar Maheep Singh,Open Bioinformatics Foundation,Implementations of AVX-512 functions
162,Hariom Chaturvedi,The Honeynet Project,PcapMonkey Improvements
163,Ayush Shrivastava,freifunk,Irdest Android Client
