,Names,Organisation,Projects
351,Hannes,Red Hen Lab,"Utilizing Speech-to-Speech Translation to Facilitate a Multilingual Text, Audio, and Video Message Board and Database"
352,Arpan Parikh,NumFOCUS,Improve Metric Module
353,Arijit Kundu,GNOME Foundation,Faces of GNOME
354,Rishabh Vasudevan,JBoss Community,"""Hey Rodney"" Wake Word Detection"
355,Shivanshu Tyagi,OpenCV,Speech recognition using OpenCV Audio IO module
356,He Yang,ReactOS,ReactOS implement iernonce.dll for RunOnceEx
357,Arkajyoti Bhattacharjee,The R Project for Statistical Computing,Improvements to nls()
358,Anant Thazhemadam,The Julia Language,Tight-Binding Atomic Graph Networks - Orbital Graph Convolution Neural Network
359,Manan Jethwani,Kiwix,New library catalogue UI for Kiwix-serve
360,Prajna,Open Genome Informatics,Bioinformatics with Jupyter Notebooks
361,Harsh Kumar,KDE Community,Adding new activities
362,SunTzunami_8_24,Python Software Foundation,FURY: Ribbon and Molecular Surface Representations for Proteins
363,Ziwei XU,DBpedia,Towards a neural extraction framework
364,Liangda Wang,The Apache Software Foundation,Apache ShardingSphere - Proofread the Oracle DDL/TCL SQL Definitions
365,Akshit Kushwaha,LibreOffice,Tests for the VCL graphics backend
366,visvesh subramanian,GNOME Foundation,Redesigning Health's MainView
367,Fredrik Wieczerkowski,Swift,Inlay type hints for SourceKit-LSP
368,Saubhik Mukherjee,The Linux Foundation,LSB: Analysis & Fixing of Race Condition Warnings in the Linux Kernel
369,Harshitha S,Free and Open Source Silicon Foundation,Formal Verification of OpenRISC’s Mor1kx processor using yosys
370,Liq Tao,The LLVM Compiler Infrastructure,Inlining: using locally optimal inlining decisions
371,Ayas Behera,OWASP Foundation,Extending the features of the vulnerable code snippets and redesigning the score board
372,Antonio Gomes,CGAL Project,3D Barycentric Coordinates for Convex Polyhedra with Triangular Faces
373,Vasudev Gupta,TensorFlow,Implement and publish state-of-the-art ML models in TensorFlow 2 & deploy them on mobile devices using TensorFlow Lite
374,Manish Kumar Shah,OpenWISP,OpenWISP REST API
375,felipe bivort haiek,NumFOCUS,GPU backend for QuTip
376,Soham Dixit,The LLVM Compiler Infrastructure,Distributed lit testing
377,Sai Rohitth Chiluka,Zulip,Improving the User Experience of Zulip Terminal
378,Ivan Molodetskikh,GNOME Foundation,Shell: update screenshot and screen recorder
379,Parth Pratim Chatterjee,The ns-3 Network Simulator Project,Direct Code Execution Modernization
380,Leonardo Cumplido,Python Software Foundation,Python Argentina: <PyZombis project> Continue the implementation of the course in the Runestone environment
381,Abdallah Elshamy,GNU Octave,Jupyter Notebook Integration
382,Leandro Doctors,Debian,Clojure CLI Build Tools in Debian
383,Otávio Oliveira,Liquid Galaxy project,Visit the World
384,Shu Richmond,AOSSIE,Slagora API and Admin Dashboard
385,Sachin Chauhan,Digital Impact Alliance (DIAL) at UN Foundation,Eventyay Open Event: Open Event Frontend Reimplementation
386,Pranav Rajpal,mypy,Improve support for singledispatch
387,Yashraj Desai,Cuneiform Digital Library Initiative (CDLI),Discovery Search and Advanced Search features
388,Dharna Chandrakar,National Resource for Network Biology (NRNB),Prepare cyjShiny for R Package  Repository Submission
389,Lisardo Pérez Lugones,Red Hen Lab,Depicting of Graphical Communication Systems (GCS) in Aztec/Central Mexican manuscripts with Deep Learning: glyphic visual recognition and deciphering using Keras
390,Osama Ahmad,Inkscape,On-canvas interactive boolean operations
391,Ashish Malik47-,Casbin,Casbin plugin for Kubernetes
392,Aravind Murali,Python Software Foundation,MSUI UI Redesign
393,Pu (Luke) Yi,Java PathFinder,Analyzing Fault Injection in Java PathFinder and Symbolic PathFinder
394,RWMK,SCoRe Lab,CodeLabz
395,Prakhar Agarwal,Purr Data,Web App UI Cleanup
396,Asier Galicia Martínez,NumFOCUS,TensorFlow data backend
397,Chi Lung Cheng,Machine Learning for Science (ML4SCI) Umbrella Organization,Quple - Quantum GAN
398,João Seckler,The Linux Foundation,Optimizing build and deploy in Kworkflow: towards the Beta release
399,Aradhana Kund,Cuneiform Digital Library Initiative (CDLI),DESIGN CHALLENGE
400,Chaitanya Kulkarni,The R Project for Statistical Computing,Adding Adaptive Bayesian SLOPE (ABSLOPE) to the SLOPE Package
401,Vedang Joshi,JBoss Community,Trust anchor management for drg
402,Mahmoud Khalil,KDE Community,Okular: Improve Custom/Image Stamp Annotation Handling
403,DamianArado,XWiki,Add WebAuthn Support to XWiki
404,Pola Hano Shehat,SCoRe Lab,Pola Hano
405,Shubhanshu Saxena,Intel Video and Audio for Linux,Async Support for TensorFlow Backend in FFmpeg
406,Vishal Chaudhary,Chromium,Port power policies end-to-end tests
407,Daniil Pakhomov,MediaPipe,Efficient Realistic Image Manipulation
408,Mykola Medynskyi,Scala Center,Implement support for ScalaPy in Scala 3
409,Ajinkya Raghuwanshi,SymbiFlow,DSP hard block integration in SymbiFlow
410,Ji Hun Hong,Processing Foundation,Korean Translations and Website Improvements
411,Mohamed Mokhtar,Red Hen Lab,Red Hen Rapid Annotator
412,Darshil Patel,Rocket.Chat,Introducing Ephemeral Channels in Rocket.Chat
413,zbrown,GNOME Foundation,Shell: Implementing Layout Managers in Rust
414,Rahat Muneeb,Chromium,"Snooze, search and filter for the Chrome DevTools Issues Tab"
415,Yongrong Chen,Swift,SwiftPM support for Swift scripts
416,Tarun Nagdeve,Red Hen Lab,Development of  a Visual Recognition model for Aztec Hieroglyphs
417,Konstantinos Doumanidis,GFOSS - Open Technology Alliance,HA-Auto:  Node-RED Compatible DSL for Home Assistant
418,Puranjay Mohan,The Linux Foundation,IIO Driver: ADXL355 Accelerometer
419,Martin Kostelník,CERN-HSF,Single precision support for GPU acceleration in VecGeom
420,Yash Rajpal,Rocket.Chat,App: Bad-Words Filter
421,Kamush,Apertium,Implementing new language pair: Kazakh - Uzbek
422,Atreya Majumdar,Open Chemistry,Make Deepchem More Robust: Implement Cutting-Edge Models and Other Features
423,Yuki Osaki,Ruby,Language Server for RBS
424,Dinko Franceschi,TensorFlow,Tree-based models
425,Quinn Okabayashi,openSUSE Project,Interpersonal Identity Verification
426,Mirali Ahmadli,TensorFlow,Improve Eigen’s Tensor Module and Integration with TensorFlow
427,Ashutosh Chauhan -,Oppia Foundation,Angular Migration
428,Subham Raj,Digital Impact Alliance (DIAL) at UN Foundation,OPEN DATA KIT: Improve the suitcase application
429,Nkoa Christophe,CiviCRM LLC,Multi currency memberships
430,Georgiy Lebedev,Tarantool,LLVM JIT engine for Tarantool's DQL
431,Harshavardhan Unnibhavi,QEMU,Development of a vhost-user-vsock application and its integration with kata contianers
432,Paulina Martin,The Julia Language,MCMC Chains imporvements
433,Eduardo Quintana Miranda,Boost C++ Libraries,Boost.Math: FFT Utilities
434,Tomás Assenza,freifunk,Android native app for network selection capability in LibreMesh routers
435,Amirfarhad Nilizadeh,Java PathFinder,Using Lightweight Specifications with Fuzzing and Symbolic Execution to Reveal Security and Semantic Bugs
436,Ashwath V A,MuseScore,Chord Symbol Style Editor
437,Alan Barzilay,The Linux Foundation,Expanding support for Kworkflow: bootloaders  and Linux distributions
438,Kartik,gprMax,LasoMax
439,Harshal Anil Shende,CERN-HSF,RooFit Development - Intuitive Python bindings for RooFit
440,Adithya Sunil Edakkadan,Free and Open Source Silicon Foundation,Porting BaseJump STL to FuseSoC
441,Dhruv Jain,Rocket.Chat,Introduce Video and Audio calls to LiveChat
442,Anshudhar Kumar Singh,Inkscape,Improvement in Export Options
443,Francesco Bursi,OSGeo - Open Source Geospatial Foundation,A new render type: On-the-fly Raster Calculator for QGIS
444,Guillem Lopez Paradis,Free and Open Source Silicon Foundation,Parallelising Verilog RTL Simulations Using MPI
445,Marlin Roberts,Java PathFinder,Improved Integration of String Solvers in SPF
446,Adarsh Kumar,The Julia Language,Plug and Play Language Models in Julia
447,Siddhant Jain,DBpedia,Neural QA Model for DBPedia
448,Gopi Manohar Tatiraju,mlpack,Replacing boost spirits
449,Jiarui Wang,The R Project for Statistical Computing,Expected Returns: FactorAnalytics
450,Hari Prashant Bhimaraju,Zulip,Enhancing the Zulip Terminal Experience
451,Lycanthrope,SCoRe Lab,GSOC 2021 CodeLabz Proposal
452,Anant Bhasin,Rocket.Chat,E2E Testing for Android in Rocket.Chat.ReactNative
453,Amr Maghraby,Red Hen Lab,Machine detection of film edits
454,tastatham,NumFOCUS,Geopandas - Dask bridge to scale geospatial analysis
455,Rithik Sharma,The LLVM Compiler Infrastructure,Clang Static Analyzer performance profiling
456,Aayush Sabharwal,The Julia Language,Model Serialization and Pathfinding  for Agents.jl
457,Rahul Halder,Rocket.Chat,Voice Channels
458,Yorguin Mantilla Ramos,INCF,SOVABIDS: A python package for the automatic conversion of MEG/EEG datasets that makes the most out of metadata
459,Gautam Jajoo,CloudCV,Improvements in EvalAI frontend
460,ABHISHEK AGARWAL,AOSSIE,Final Step Towards Deployment
461,Tomas Capretto,NumFOCUS,Extend available models and default priors in Bambi
462,Mai,MGGG Redistricting Lab,Distribution Checks
463,Kapil (devkapilbansal),OpenWISP,OpenWRT package for OpenWISP Monitoring
464,Ahmed Alwasifey,Joplin,Improving Conflict Resolution Process
465,Rajan Jaiswal,CCExtractor Development,Improving rutorrent mobile interface
466,Deep Majumder,The LLVM Compiler Infrastructure,Making Smart Pointer Checkers default checkers in the Static Analyzer
467,Gourishankar Panda,Kiwix,Improve Kiwix Android Library
468,Yash Srivastava,OpenStreetMap,Interface for reporting search bugs for Nominatim
469,Yash Jipkate,"Center for Research in Open Source Software, UC Santa Cruz",Port wiki to ReadTheDocs or another documentation platform
470,Remco Kranenburg,xrdesktop,Predictive Text Input for Virtual Reality
471,Gavish Poddar,Python Software Foundation,Implementing an optional language detection library to improve language detection.
472,Ping Zhang,NumFOCUS,GSoC Proposal: Multi-Start Optimization Methods
473,Lakshya Singh,Chapel,Socket Library
474,Suhas G,JdeRobot - Universidad Rey Juan Carlos,Shifting VisualCircuit to a web server
475,Martynas Stankevičius,FFmpeg,FFT assembly
476,Akshat Tiwari,MetaBrainz Foundation Inc,Musicbrainz Android App: Dawn of Showdown
477,Liutong HAN,OpenCV,Optimizing OpenCV DNN for RISC-V Proposal
478,Ritiek Malhotra,MetaBrainz Foundation Inc,Complete Rust binding for the MusicBrainz API
479,Benjamin Doron,TianoCore,Minimum Platform Board Port - Acer Aspire VN7-572G
480,mschwennesen,NumFOCUS,NetworkX: Implementing the Asadpour Asymmetric Traveling Salesman Problem Algorithm
481,Aayush Joglekar,Chromium,Sample Diagnostics App for ChromeOS
482,Mragank Shekhar,NumFOCUS,"Speed-up, parallelize and distribute ArviZ"
483,Siyuan Fan,libcamera,A Software ISP Implementation with OpenCL
484,Sankha Das,National Resource for Network Biology (NRNB),SBML4Humans - Interactive SBML Report for Humans
485,Avinash,freifunk,RetroShare WEBUI
486,Adrian-Antonio Petre,CERN-HSF,Portability for the Patatrack Pixel Track Reconstruction with Alpaka
487,Frank Schäfer,NumFOCUS,Neural Hybrid Differential Equations and Adjoint Sensitivity Analysis
488,adwaitbhope,openastronomy,Adding Support for Resampling Data with NDCube
489,Sparsh Agrawal,Oppia Foundation,Static Analysis Checks + Improvements
490,Omar Mohamed Abdel Samea,FOSSology,Making FOSSology architecture microservice friendly
491,Deepro Choudhury,Google FHIR SDK,Implementation of FHIRPath in a Java library
492,santhab,LibreOffice,Implementing table styles DOCX support
493,open-sorcerer,Chromium,WebView Components UI
494,Hongcheng Zhong,Intel Video and Audio for Linux,VVC Parser for Gstreamer
495,Sandagomi Pieris,SCoRe Lab,CrawlerX - Distributed crawling system
496,Ilias Kyranas,GFOSS - Open Technology Alliance,Sastix-CMS: A general purpose Java CMS in Spring Boot
497,Alana Xiang,Open Chemistry,Large Scale Protein Modeling in DeepChem
498,Alexis Ehret,Rizin,Reworking Rizin's binary loading
499,Marcos Lerones,Haskell.org,Dhall bindings to TOML configuration language
500,Akash Gupta,MetaBrainz Foundation Inc,"Implement a ""Series"" entity"
501,Sahan Dilshan,DBpedia,Lifecycle Management of DBpedia Neural QA Models - Sahan Dilshan
502,Ankur Saini,GNU Compiler Collection (GCC),Extending C++ support for static analysis pass
503,anubhav sharma,Google FHIR SDK,Android FHIR Client
504,Yeming Gu,CHAOSS Project,Yeming Gu's GSoC proposal for CHAOSS
505,Jimil Desai,CERN-HSF,Runtime plugin ecosystem support for OCIS
506,Aadi Bajpai,CCExtractor Development,Beacon Backend
507,Utkarsh Maheshwari,NumFOCUS,Increase support for time-series and regressions (Python)
508,Captain Yoshi,MoveIt,Creation of a Benchmark Suite
509,Rashmi K A,CHAOSS Project,Sorting Hat - Extend data model and user interface to capture better information about contributors
510,Indraneel Ghosh,National Resource for Network Biology (NRNB),Simple Enrichment Tool for Analysis
511,Tran Huu Binh Minh,AerospaceResearch.net,Center of Satellite Signal in the Frequency Domain
512,Linden Disney-Hogg,SageMath,Rigorous integration and the Abel-Jacobi map
513,Ramanujan,SCoRe Lab,DNSTool Middleware/API
514,D Ajay Kumar,52°North GmbH,enviroCar Platform Independent App
515,Mainak Deb,INCF,Upgrading DevoLearn
516,Eyvaz Ahmadzada,Joomla!,Media Manager
517,Ifeanyichukwu,Apertium,Ideas for Google Summer of Code/Morphological analyser
518,DhairyaJain,The R Project for Statistical Computing,Add Robust Betas to Performance Analytics
519,amanpro30,OWASP Foundation,Login/Signup Implementation
520,Srijan Paul,LabLua,Closures in Pallene
521,Nektarios Gkikakis Fifes,Postman,AsyncAPI Application simulation
522,vsquareg,OpenMined,High Performance Data Channel for Duet
523,Giannis Papad,GFOSS - Open Technology Alliance,"""PackageInfo WebApp"""
524,Sanjiban Sengupta,CERN-HSF,ROOT Storage of Deep Learning models in TMVA
525,Jeevi,SCoRe Lab,DNSTool proposal
526,Nithin Jaikar,CRIU,DUMP SHARED MEMORY IN USER-MODE
527,Olivian,Haskell.org,Haskell in CodeMirror 6
528,Siras Hakobyan,National Resource for Network Biology (NRNB),"TumorComparer, updated version"
529,Jakub Jelinek,Fortran-lang,Handling compiler arguments
530,Shivaditya Shivganesh,LibreHealth,Neural network-based object detection of anatomical structures and medical artifacts in Virtual Reality
531,Rishi Purwar,Postman,Contributing to Postman Public Workspace
532,Vishal Dalwadi,Polypheny,Support for Contextual Query Language
533,Amlan Kumar Nandy,SCoRe Lab,Improve LabelLab Mobile Application
534,Aditya Mitra,Rocket.Chat,Out Of Office Settings with an Assigning Deputy - GSOC 2021 - Aditya Mitra
535,Nuwan Jayawardene,The Apache Software Foundation,Containerisation of Apache Synapse ESB
536,Dongjia Zhang,AFLplusplus,Scheduler for LibAFL
537,Aidan Marshall,Genome Assembly and Annotation,Deep learning homology inference
538,Vadim Abzalov,NumFOCUS,[NetworkX] Pedagogical Interactive Notebooks for Algorithms Implemented in NetworkX
539,Emiljano Gjiriti,Android Graphics Tools Team,Coverage-guided mutation-based fuzzing for WebGPU
540,srkltg,SCoRe Lab,DNSTool Web Application
541,Vasily Ilin,NumFOCUS,Efficient Spatial Simulations in DiffEqJump
542,Preet Vadaliya,MIT App Inventor,Custom Font Typeface Support
543,yuqi (alyssa) chen,TianoCore,proposal for Enable Clang/LLVM Build for Microsoft Windows
544,YoungHwan Joo,PostgreSQL,Develop Performance Farm Benchmarks and Website
545,Aneesh Chawla,CERN-HSF,OpenForBC
546,Ferran Delgado Garcia,Liquid Galaxy project,Crop Doc Terminal TPU
547,pschreiber,freifunk,Freifunk Digital Twin - test on your virtual mesh before going productive
548,Sunit Roy,TensorFlow,TensorFlow Lite examples for Natural Language Processing
549,Ayush Singh,AerospaceResearch.net,Calibrate SDR+
550,Neel,NumFOCUS,Lambert W Distributions in Stan
551,Sarthak_Gupta,Sugar Labs,Sugarizer Measure activity
552,Ishan Kumar Kaler,Purr Data,General Midi Mad Dash
553,Vineet Jain,Free and Open Source Silicon Foundation,WARP-V Many-Core in the Cloud
554,Kinar Sharma,The Apache Software Foundation,Functional Enhancements to Fineract CN Mobile
555,Aditya Wagh,INCF,Maxima Demo and Documentation Tool.
556,Anubhav Sharma-1,Wikimedia Foundation,Retraining models from ORES to be deployable on Lift Wing
557,Pankaj Yadav,National Resource for Network Biology (NRNB),Local DB support for SBGN maps in Newt
558,Evgeniia Karunus,INCF,SciUnit: integration with NetPyNE and other simulation environments
559,Ilia Ilmer,NumFOCUS,Parameter Identifiability with ModelingToolkit.jl
560,Shaik Ajmal R,OWASP Foundation,Building a AI Based Web Application firewall
561,David Davó,Haskell.org,Fixing ihaskell-widgets
562,Rahul Anand,JBoss Community,3Scale - Envoy proxy authorization cache
563,Abhay0O7,CASTOR,Implement DepClean Gradle plugin and support for multi-module analysis
564,Songlin Jiang,openSUSE Project,Customize IBus Extension
565,Aman V. Singh,OWASP Foundation,SecureTea - Improvement in Features
566,Anastasiia Sedova,DeepPavlov,Relation Extraction
567,geolas,International Catrobat Association,"Pocket Paint for Android: Hide the top and bottom bars, and make the drawing surface full screen by default"
568,Farjad Ilyas,AnkiDroid,"""Migrating to Scoped Storage"" By Farjad Ilyas, 2021"
569,Arpit Bhalla,React Native Elements,"Migrating Hooks, Tests & APIs"
570,Xuanda Yang,The Julia Language,Implement Escape Analysis in Julia Compiler
571,Alexis Newton,SageMath,Implement Small Groups
572,Zeeshan Equbal,Zulip,Improving Zulip’s terminal interface.
573,Dhruv Vats,openastronomy,Integrating Multitaper Periodogram into Stingray
574,NIKITA MAHOVIYA,National Resource for Network Biology (NRNB),Develop GUI for ImageJ groovy script calling VCell API
575,Rahul Saini,Joomla!,Frontend Inline editing
576,Duong Dac,OpenCV,Improve the OpenCV Python package with type annotations and type checking
577,Rishi R,The R Project for Statistical Computing,Machine Learning for Macro Diffusion Indexes
578,Prateek Pardeshi,Pidgin Instant Messenger,Pidgin: Account Creation/Edit Assistant
579,Xingyu Liu,Python Software Foundation,Improve performance through the use of Pythran
580,Rahul Babu Shrestha,Python Software Foundation,"Implementing locality sensitive hashing to compare large scale, out of core machine learning datasets"
581,Rikito Taniguchi,Scala Center,Add synthetics and symbol information for semanticdb in Scala 3
582,Yulia Kuzovkova,The Libreswan Project,Support for RFC 7670 (Generic Raw public key support)
583,Somil Jain,Cuneiform Digital Library Initiative (CDLI),Design Challenge
584,José Manuel Díaz Urraco,DBpedia,DBpedia Spotlight Dashboard: an integrated statistical information tool from the Wikipedia dumps and the DBpedia Extraction Framework artifacts
585,Nishit Patel,GNOME Foundation,Tracker-miners: File creation time
586,Maija Utriainen,National Resource for Network Biology (NRNB),Implementing multiple clustering algorithms and dimensionality reduction techniques on clusterMaker2
587,Devyansh Chawla,Wikimedia Foundation,Develop a UserScript/Gadget tutorial on MediaWiki.org similar to Wikipedia:The_Wikipedia_Adventure
588,Jose Giraldo,Orcasound,Sounds similar for me: Using open embeddings to improve sampling on orcAL Tool
589,Hashim,Python Software Foundation,DFFML : Enhancing User Experience with Notebook Examples for Machine Learning Use Cases.
590,Manan Sharma-1,Postman,Newman Dashboard
591,Jean Staquet,Rocket.Chat,Channel's Calendar View
592,Huu Long Nguyen,The Julia Language,Particle Swarm Optimization for Hyperparameter Tuning in MLJ
593,Nirmal Praveen Suthar,SPDX,Generate a JSON Representation of the Specification from Structured Markdown
594,Hrithik Kumar Verma,Python Software Foundation,MISSION SUPPORT SYSTEM (MSS) : GENERATING A TOOL CHAIN TUTORIAL FOR THE MSUI USER INTERFACE BY AUTOMATION OPERATIONS
595,Hari Krishna,Wikimedia Foundation,Develop a web based monitoring dashboard to improve and monitor existing database backup inventory processes and improve long term maintainability of existing code
596,CastilloDel,Global Alliance for Genomics and Health,Pure Rust serverless htsget implementation
597,Jayaraj,AerospaceResearch.net,CalibrateSDR
598,Trung Kien Dang,Scala Center,"A Python - Scala integrated environment with Almond, Ammonite and ScalaPy"
599,Abhishek Zade,CircuitVerse.org,Compatibility for Touch Devices
600,Adarsh Kumar Singh,JBoss Community,Classroom and Doubt forum feature in Mobile Application.
601,Chukwuemeka Okechukwu,Digital Impact Alliance (DIAL) at UN Foundation,DIAL ODK-X New Date Prompts For ODK-X Survey Proposal
602,Hugo Flores Garcia,Audacity,Source Separation and Extensible MIR Tools for Audacity
603,Sidharth Anand,MuseScore,Smart Tempo in MuseScore 4
604,Adithya Vardhan,Rocket.Chat,Channels Discovery
605,Sushanth Rao,Ruby,Writing of RBS Files
606,Maayami,SCoRe Lab,SCoRe Lab's Gitter ChatBot
607,Farees Hussain Syed,Oppia Foundation,End-to-End Testing Support
608,Stuti Mohgaonkar,Processing Foundation,Create p5 Music examples - interactive and generative
609,Apoorva Vikram Singh,Machine Learning for Science (ML4SCI) Umbrella Organization,Equivariant Neural Networks for Dark Matter Morphology with Strong Gravitational Lensing
610,Albert Font,Liquid Galaxy project,Electronics Monitor Board (EMB)
611,Ioannis Sina,GFOSS - Open Technology Alliance,Creation of a multi user audio first annotation tool
612,tpw_rules,apertus° Association,T1220 AXIOM Beta nMigen Support
613,Apurv Gupta,The Apache Software Foundation,UX Enhancements
614,Georgios Pipilis,Machine Learning for Science (ML4SCI) Umbrella Organization,Machine Learning Model for the Albedo of Mercury
615,freyam,NumFOCUS,Visualizing Performance Characteristics of Computations
616,xing-zhi jiang,MariaDB Foundation,autocomplete and related feature
617,Panos Korovesis,LibreOffice,Make SVM format independent of the VCL Metafile + test of the format
618,Arsh Sharma-1,The Julia Language,General Improvements to User Experience in Javis
619,Jayesh Nirve,CCExtractor Development,Cross platform GUI for CCExtractor
620,Chukwuebuka Ezike,KDE Community,Add gdb pretty printer support for Qt5
621,Liviu-Alexandru Bud,The Linux Foundation,Add dynamic load module support for SOF
622,Aditya Srivastav,Wikimedia Foundation,Custom Picture Selector for upload in Commons app
623,Carol Mak,The Julia Language,Involutive Markov Chain Monte Carlo in Turing
624,Raj Ranjan,AOSSIE,Agora Blockchain
625,rutvik chandla,The Palisadoes Foundation,Talawa - Mobile App
626,Piyush_Kumar,The R Project for Statistical Computing,bugRzilla: Helping submitting issues to R
627,Esteban Blanc,gVisor,Implement io_uring in gVisor
628,Eraraya Ricardo Muten,Machine Learning for Science (ML4SCI) Umbrella Organization,Quantum Convolutional Neural Networks for High Energy Physics Analysis at the LHC
629,David Romero Bascones,INCF,Population-specific tractography bundle atlas creation
630,Atharva Pusalkar,Open Robotics,New GUI widgets in Ignition Gazebo
631,David Port Louis,mlpack,Implementation of Example Zoo for mlpack
632,Emre Kurtoglu,Machine Learning for Science (ML4SCI) Umbrella Organization,Graph Neural Networks for Particle Momentum Estimation in the CMS Trigger System
633,khyati,52°North GmbH,Groundwork for platform independent app
634,Aditya Kapoor,RoboComp,Improvement of a Social Navigation component
635,Kuter Dinel,The LLVM Compiler Infrastructure,Improve inter-procedural analyses and optimizations
636,Sai Prasanth Duvvuri,Chapel,Matrix Exponentials
637,Bingchang Chen,CNCF,TiKV: High-performance Data Import Tool
638,Qi Zeng,Integrated Ocean Observing System (IOOS),Translate ERDDAP User Interface Into Different Languages
639,Kelvin Kipkorir,openSUSE Project,Container-based backend for openQA
640,Georgios Kosmas,GFOSS - Open Technology Alliance,hashesdb (Georgios Kosmas)
641,ricardoV94,NumFOCUS,[PyMC3] Make SMC-ABC faster and more flexible
642,Huaxi Jiang,The Apache Software Foundation,Enhance verification for APISIX ingress controller
643,Delton,Ruby,The Next Step of Ruby 3 Fiber Scheduler
644,Chandan,JdeRobot - Universidad Rey Juan Carlos,Migrating industrial robot manipulation exercises to web server
645,Jeffrey Cochran,Godot Engine,Improvements to Godot Soft-body Dynamics
646,Jayasanka Weerasinghe,OpenMRS,E2E Automated Tests for the OpenMRS 3.0 RefApp
647,Vineet Sharma,OpenMRS,Modernizing Administrative functions for OpenMRS: Clinical Data Management
648,Saurabh,OpenMRS,OpenMRS Android Client 3.0.x
649,Huzi Cheng,NumFOCUS,A Full-featured Web Dashboard  for Optuna to Monitor Optimization History
650,Fatih ATES,CNCF,CNCF - CNB - Jenkins Plugins
651,Mahmoud Mandour,QEMU,TCG Plugin: Cache Modelling
652,Leonardo Coelho Ruas,Liquid Galaxy project,Liquid Galaxy Retro Gaming
653,Purushottam Tiwari,Zulip,"Improve stream management, message viewing and left sidebar"
654,Kushal Kumar,Accord Project,CiceroMark<->OOXML
655,Mridul,Oppia Foundation,Improving Front-End Typed System
656,Mustafa Dharwala,Cuneiform Digital Library Initiative (CDLI),3D Viewer Integration
657,Abdullah Deshmukh,Dart,Flutter Desktop Tool
658,Shiv Charan Sharma,BRL-CAD,Automate Reinforcement Process of Slab and Footing in FreeCAD
659,Angad Kambli,Godot Engine,Add pseudo-localization to better spot untranslated strings and unexpected layout changes caused by long strings
660,krishna11,The Honeynet Project,Cloning and compatibility improvements for Snare
661,Akihiro Kiuchi,Continuous Delivery Foundation,Jenkins Remoting Monitoring
662,Ninad Bhat,NumFOCUS,Extending the AiiDA REST API towards workflow management
663,Elias Little,The Julia Language,What You See Is What You Rest Security
664,Frinksy,Matrix.org,Extend Ruma's API coverage
665,Chandan Prakash,Sugar Labs,Music Blocks Debugging Aids
666,Ashutosh Bharambe,NumFOCUS,Adding Integro Differential Equations and Improving symbolic representation of geometry in PINNs
667,Kushagra Gupta 99,The R Project for Statistical Computing,Critical efficiency improvements of mcmcse
668,Prathamesh Tagore,Boost C++ Libraries,Boost.Gil : 2D convolution and correlation
669,Anurag Akella,CERN-HSF,Implementing an application for visualizing the LHCb DAQ network
670,Khushal Agarwal,React Native Elements,Automatically generate docs from the components
671,Arthur Cohen,GNU Compiler Collection (GCC),Cargo tool for Rust-GCC
672,Sarthak Khattar,The Honeynet Project,IntelOwl Improvements
673,Goutam Verma,Liquid Galaxy project,SimpleCMS E.S.
674,Suyog Garg,openastronomy,Add a CDS-ASCII writer to astropy
675,Yang Yang,MetaBrainz Foundation Inc,Push the URL relationship editor to the next level
676,Dhruva Gole,BeagleBoard.org Foundation,Bela support for the BeagleBone AI and/or future TI boards
677,Divyansh Jain,OWASP Foundation,GSOC proposal for Nettacker
678,Edward HUI,Audacity,Spectral Selection Tools
679,Ke Zhang,The Apache Software Foundation,Proposal for Apache SkyWalking: Python agent supports profiling
680,Anastasiy Belyaev,Tarantool,C++ connector enhancement
681,Kodjo Laurent Egbakou,VideoLAN,Added new features to  LibVLCSharp and fixed bugs
682,Shruti Agarwal,FOSSology,Migration of UI into React.js
683,Hwarim Hyun,The Apache Software Foundation,Implementing Work Stealing on Nemo
684,Abhinav Anand,mlpack,Improvisation and Implementation of ANN Modules
685,Vishal Sharma,Xfce,Sample/Skeleton Plugins in GOI Supported Languages
686,Shreyan Ganguly,Red Hen Lab,Machine detection of film edits
687,Alejandro Domínguez,GNOME Foundation,Fractal: Multi account support
688,ketangupta34,MetaCall,Java Loader using Java Native Interface
689,BHARAT BIRADAR,Dart,SPDX license detection package
690,Yash Kumar Verma,caMicroscope,RBAC Authorization with Cache Implementation using higher order functions
691,Shrey Sachdeva,Open Bioinformatics Foundation,Development of a user interface to visualise VEP data using neXtProt tools
692,Purva Chaudhari,Machine Learning for Science (ML4SCI) Umbrella Organization,End-to-End Deep Learning Reconstruction for CMS Experiment
693,Guang Zhang,DBpedia,"Update DBpedia Sparql for newly updated wiki resources and specifically related to pandemic, healthcare, and heath AI fields"
694,Sahaja Belaganti,CNCF,Upgrade OAM implementation in Crossplane to latest release of spec
695,Nishal Kulkarni,GNOME Foundation,Implement active resource management in GNOME
696,Vedant Shah,GFOSS - Open Technology Alliance,Extending Deepbots to evolutionary algortihms
697,tanishq67,Open Bioinformatics Foundation,gtfBase- A curated resource of multispecies genomic regions
698,SeifEldeen Emad,apertus° Association,Image Sensor Simulation/Emulation
699,Gerardo Duran-Martin,TensorFlow,TensorFlow Proposal for the Convert Matlab ML examples to Python / JAX project
700,Jakub Duchniewicz,BeagleBoard.org Foundation,GPGPU with GLES API
701,Utpalendu Barman,CiviCRM LLC,Integrate MJML / GrapeJS Newsletters
